event_id,blob_id,time_idx,date,type,n_cells,area_km2,centroid_lat,centroid_lon,min_lat,max_lat,min_lon,max_lon,mean_anomaly_mm,max_magnitude_mm,total_anomaly_mm
EVT-2020-036,B00052,1,2020-07-31,dry,33,24447.34593989435,16.95444131962926,89.3761530747976,16.25,17.5,88.75,90.25,-97.38761138916016,-104.95010375976562,-3213.791259765625
EVT-2020-037,B00047,1,2020-07-31,dry,33,23775.694977598178,21.508451939724907,96.59514509987092,20.5,22.25,96.0,97.5,-57.46420669555664,-103.23699951171875,-1896.31884765625
EVT-2020-038,B00042,1,2020-07-31,dry,30,20524.955274865202,27.763667377643944,68.36292214676944,26.25,29.25,68.0,69.25,-93.8555679321289,-121.67292785644531,-2815.6669921875
EVT-2020-039,B00050,1,2020-07-31,dry,26,19062.69411965659,18.847542830773623,85.27296516220589,18.25,19.5,84.25,86.25,-89.95663452148438,-138.48257446289062,-2338.87255859375
EVT-2020-040,B00029,1,2020-07-31,wet,29,18050.988967091922,36.57742103365889,77.75196465802901,36.0,37.0,76.5,79.0,22.226713180541992,46.63610076904297,644.57470703125
EVT-2020-041,B00054,1,2020-07-31,dry,24,17822.57639460566,16.495646015165104,87.07639340439049,16.0,17.0,86.0,88.0,-85.4969253540039,-100.99826049804688,-2051.92626953125
EVT-2020-023,B00031,1,2020-07-31,wet,23,15414.507133413712,30.00755606753848,87.75457432036839,28.75,30.75,87.0,88.75,39.848907470703125,66.23651123046875,916.52490234375
EVT-2020-013,B00049,1,2020-07-31,dry,21,15228.53454593507,20.556781070586165,94.53834703238851,20.0,21.0,94.0,95.5,-78.07514190673828,-125.00576782226562,-1639.5780029296875
EVT-2020-017,B00046,1,2020-07-31,dry,21,14864.830205055632,23.92639024190373,92.63580005316565,22.75,24.5,92.0,93.0,-90.88480377197266,-129.51654052734375,-1908.580810546875
EVT-2020-003,B00040,1,2020-07-31,dry,23,14764.218774615714,33.99817422286206,83.5951451837509,33.5,34.5,83.0,84.25,-23.88473892211914,-31.685672760009766,-549.3489990234375
EVT-2020-042,B00036,1,2020-07-31,wet,19,14458.356952094868,10.597465522197519,78.1784553280878,10.25,11.5,77.5,79.0,49.32728576660156,119.37158203125,937.2184448242188
EVT-2020-043,B00045,1,2020-07-31,dry,20,14062.780521053926,24.740264650112948,68.54662512275185,24.25,25.5,68.0,69.5,-88.9743423461914,-131.32473754882812,-1779.48681640625
